# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	308026
#@/user_id	81bf718c-31d1-4575-8c56-55f3655d21e4
ban ge fu 	半個服	c=2 d=1.92774 t=62355
ban ge xia shi 	半個下士	c=1 d=1 t=179156
ban ge xiao shi 	半個小時	c=11 d=0.1 t=299503
ban ge xiao shi ba 	半個小時吧	c=1 d=1 t=299504
ban ge yue 	半個月	c=5 d=1 t=277992
ban ge yue qian 	半個月前	c=1 d=1 t=21991
ban gong 	辦公	c=4 d=1.05886 t=292939
ban gong qu 	辦公區	c=1 d=1 t=67999
ban gong shi 	辦公室	c=13 d=1 t=214319
ban gong shi li 	辦公室裏	c=1 d=1 t=93078
ban gong shi shuo 	辦公室說	c=1 d=1 t=97967
ban gong wo 	辦公我	c=1 d=1 t=119463
ban guang 	搬光	c=1 d=1 t=35726
ban guo lai 	搬過來	c=2 d=1 t=301796
ban guo qu 	搬過去	c=1 d=1 t=155184
ban hao 	版號	c=3 d=1.00499 t=197920
ban hao 	辦好	c=1 d=1 t=288536
ban hua 	版畫	c=1 d=1 t=150087
ban jia 	搬家	c=4 d=1 t=261831
ban jia shi fu 	搬家師傅	c=1 d=1 t=149657
ban jiao 	半角	c=3 d=2.87435 t=119101
ban jing 	半徑	c=1 d=1 t=48185
ban ju 	半句	c=1 d=1 t=179116
ban ka 	辦卡	c=1 d=1 t=160585
ban kuai 	板塊	c=9 d=4.80771 t=230606
ban le 	搬了	c=3 d=1 t=136243
ban li 	辦理	c=3 d=1.00002 t=162427
ban ma 	斑馬	c=0 d=0.1 t=236060
ban mian 	拌麪	c=2 d=1 t=303364
ban nian 	半年	c=13 d=1.04979 t=278683
ban nian fu 	半年付	c=1 d=1 t=195799
ban niang 	伴娘	c=2 d=0.1 t=294557
ban pai 	半拍	c=1 d=1 t=63262
ban pan 	半盤	c=1 d=1 t=27547
ban quan 	版權	c=5 d=1 t=185957
ban shen xiang 	半身像	c=1 d=1 t=89471
ban shi chu 	辦事處	c=2 d=1 t=86922
ban shi xiao lv 	辦事效率	c=1 d=1 t=96019
ban shou li 	伴手禮	c=1 d=1 t=45042
ban shou xu 	辦手續	c=1 d=0.1 t=282301
ban si 	半死	c=1 d=1 t=280346
ban tian 	半天	c=31 d=1 t=303742
ban tian er 	半天而	c=1 d=1 t=215140
ban tian jia 	半天假	c=2 d=1 t=60432
ban tu 	版圖	c=1 d=1 t=165034
ban wa gong 	搬瓦工	c=2 d=1.94176 t=132746
ban wa gong 	版瓦工	c=8 d=1.1367 t=46161
ban wan 	辦完	c=1 d=1 t=51316
ban wo 	伴我	c=1 d=1 t=67070
ban xia lai 	搬下來	c=1 d=1 t=192397
ban xiao shi 	半小時	c=9 d=0.00181803 t=308026
ban yan 	扮演	c=3 d=1 t=298254
ban ye 	半夜	c=2 d=1 t=231650
ban ye li 	半夜裏	c=1 d=1 t=183965
ban yue 	半月	c=0 d=0.1 t=120449
ban yun gong 	搬運工	c=1 d=1 t=104978
ban zhu 	版主	c=19 d=1 t=221104
ban zi 	板子	c=3 d=1 t=289606
ban zi 	絆子	c=0 d=0.1 t=40161
ban zi shang 	板子上	c=1 d=1 t=272020
ban zou 	伴奏	c=1 d=1 t=10337
ban zou 	搬走	c=3 d=1 t=171226
bang 	幫	c=56 d=0.488081 t=305269
bang 	棒	c=70 d=1.00036 t=306548
bang 	榜	c=8 d=1.42741 t=247090
bang 	綁	c=5 d=1 t=235816
bang ba shou 	幫把手	c=1 d=1 t=85016
bang bang 	棒棒	c=16 d=0.0982736 t=308026
bang bang da 	棒棒噠	c=3 d=1 t=106910
bang bie ren 	幫別人	c=1 d=1 t=305270
